,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
43496,62551,10881,12,11412,1,0,3768,1440,1930,1,510000
43497,62552,10882,33,11412,1,0,4000,1936,1925,1,522000
43498,62554,10884,50,11412,1,0,4000,1440,1925,1,400000
43499,62555,10885,3,11412,1,0,3542,1400,1925,1,379634
43500,62556,10885,20,11412,1,0,4000,1388,1925,1,560000
43501,62559,10887,1,11412,1,0,3994,1968,1940,1,600000
43502,62561,10892,7,11412,1,0,4000,1997,1925,1,550000
43503,62562,10892,7,11412,1,0,4000,1997,1925,1,216000
43504,62563,10893,4,11412,1,0,4000,2075,1935,1,532500
43505,62564,10893,4,11412,1,0,4000,2075,1935,1,315000
43506,62565,10893,8,11412,1,0,3100,1812,1925,1,370000
43507,62566,10893,22,11412,1,0,3242,2078,1935,1,365040
43508,62567,10893,64,11412,1,0,4000,1812,1935,1,499000
43509,62568,10894,23,11412,1,0,3000,1800,1935,1,550000
43510,62569,10894,23,11412,1,0,3000,1800,1935,1,223250
43511,62570,10894,36,11412,1,0,3100,1740,1935,1,467000
43512,62571,10894,40,11412,1,0,3100,1740,1935,1,325000
43513,62574,10898,14,11412,1,1,2100,2592,1940,1,425000
43514,62578,10902,18,11412,1,0,3000,1772,1925,1,460000
43515,62580,10903,25,11412,1,0,3300,1772,1925,1,325000
43516,62583,10904,7,11412,1,0,4000,1833,1920,1,494000
43517,62585,10904,40,11412,1,0,3300,1802,1920,1,350000
43518,62586,10908,44,11412,1,0,3325,1480,1920,1,550000
43519,62588,10910,43,11429,1,0,4800,1283,1945,1,540000
43520,62589,10910,43,11429,1,0,4800,1283,1945,1,405000
43521,62590,10910,50,11429,1,0,3200,1320,1925,1,180000
43522,62591,10911,3,11412,1,0,3906,1838,1930,1,250000
43523,62592,10911,20,11412,1,0,3300,1752,1925,1,240000
43524,62593,10911,21,11412,1,0,3300,1752,1925,1,555000
43525,62596,10911,51,11412,1,0,3000,1744,1930,1,460000
43526,62597,10912,17,11429,1,0,2000,1440,1940,1,265000
43527,62598,10912,22,11429,1,0,1600,1440,1940,1,382000
43528,62599,10912,54,11412,1,0,3400,1570,1930,1,300000
43529,62600,10913,41,11429,1,0,1600,1492,1950,1,200000
43530,62601,10913,56,11429,1,0,1600,1492,1950,1,395000
43531,62602,10914,3,11429,1,0,4000,1104,1930,1,380000
43532,62607,10919,63,11429,1,0,4040,1252,1920,1,300000
43533,62608,10921,31,11429,1,0,4800,1752,1925,1,540000
43534,62609,10922,25,11429,1,0,3800,1566,1920,1,465000
43535,62610,10922,86,11429,1,0,5770,1728,1920,1,455000
43536,62611,9894,69,11432,2,0,2400,2352,1925,1,85000
43537,62612,9895,88,11432,2,0,1850,1656,1901,1,600000
43538,62613,9896,38,11432,2,0,2850,1500,1925,1,625000
43539,62614,9896,63,11432,2,0,2300,1950,1920,1,690000
43540,62615,9897,73,11423,2,0,2470,1496,1925,1,10000
43541,62616,9897,94,11423,2,0,3230,1312,1925,1,418000
43542,62617,9898,13,11423,2,0,2400,1194,1925,1,690000
43543,62618,9902,16,11423,2,0,3078,2170,1950,1,780000
43544,62619,9903,24,11423,2,0,2093,1980,1910,1,650000
43545,62622,9905,40,11423,2,0,4000,1748,1950,1,595000
43546,62623,9905,84,11423,2,0,2550,1472,1920,1,510000
43547,62625,9906,60,11423,2,0,2500,1972,1920,1,371000
43548,62628,9916,26,11432,2,0,3040,1144,1930,1,530000
43549,62632,10318,10,11433,2,0,2500,1632,1920,1,680000
43550,62633,10347,92,11412,2,0,2200,1694,1945,1,435000
43551,62634,10353,55,11423,2,0,2200,1648,1960,1,290000
43552,62635,10366,35,11423,2,0,2400,1720,1950,1,460000
43553,62638,10376,16,11412,2,0,5000,3276,2016,1,865112
43554,62639,10378,22,11412,2,0,5000,2120,1925,1,290000
43555,62644,10453,28,11423,2,0,2900,1895,1915,1,725000
43556,62647,10460,65,11423,2,0,2200,2232,1925,1,455000
43557,62649,10466,16,11423,2,0,2727,1920,1920,1,469200
43558,62650,10471,42,11423,2,0,3404,1936,1965,1,580000
43559,62651,10476,16,11423,2,0,2400,2144,1920,1,525000
43560,62652,10476,28,11423,2,0,2400,2144,1920,1,671000
43561,62653,10479,7,11423,2,1,1980,2200,1931,1,450000
43562,62654,10482,11,11423,2,0,2400,1264,1920,1,515000
43563,62655,10482,11,11423,2,0,2400,1264,1920,1,430000
43564,62658,10493,77,11423,2,0,6000,1426,1950,1,700000
43565,62659,10539,5,11428,2,1,1724,2520,1931,1,500000
43566,62660,10539,85,11428,2,0,2600,1216,1925,1,510000
43567,62661,10544,65,11428,2,0,3016,1768,1925,1,325000
43568,62662,10548,72,11428,2,0,2600,1152,1925,1,505000
43569,62663,10549,68,11428,2,0,2600,1120,1925,1,450000
43570,62664,10550,39,11428,2,0,2600,1120,1930,1,545000
43571,62668,10559,50,11428,2,0,2800,2000,1930,1,587500
43572,62669,10559,53,11428,2,0,2800,2000,1930,1,590000
43573,62670,10563,21,11428,2,0,2900,1665,1930,1,535000
43574,62672,10573,11,11427,2,0,3000,1237,1945,1,489000
43575,62674,10575,19,11427,2,0,2800,1800,1930,1,400000
43576,62679,10817,23,11423,2,0,2842,2050,1920,1,715000
43577,62680,10819,9,11423,2,0,7500,3390,1920,1,568000
43578,62681,10831,9,11423,2,0,3379,1520,1925,1,425000
43579,62682,10836,92,11429,2,0,1600,1600,1925,1,300000
43580,62683,10836,92,11429,2,0,1600,1600,1925,1,210000
43581,62685,10837,37,11423,2,0,4000,1944,1901,1,395460
43582,62688,10852,17,11423,2,0,4400,1662,1945,1,725000
43583,62689,10852,17,11423,2,0,4400,1662,1945,1,310000
43584,62691,10865,60,11423,2,0,4000,3500,1930,1,532500
43585,62692,10867,43,11423,2,0,2500,2523,2005,1,480000
43586,62693,10872,54,11423,2,0,3417,1848,1925,1,740000
43587,62694,10873,25,11429,2,0,1760,1669,1940,1,277000
43588,62698,10892,49,11412,2,0,4000,1984,1925,1,790000
43589,62699,10893,31,11412,2,0,3242,1854,1935,1,371000
43590,62700,10897,5,11412,2,0,4000,2122,1950,1,624000
43591,62703,10906,38,11412,2,0,4000,1564,1945,1,671000
43592,62704,10907,43,11412,2,0,3000,1658,1925,1,570000
43593,62706,10917,24,11429,2,0,1460,1449,1950,1,459000
43594,62709,10922,37,11429,2,0,4039,1406,1920,1,670000
43595,62711,10448,116,11423,3,0,1848,1344,1940,1,650000
43596,62714,10819,19,11423,3,0,2724,3487,2005,1,812000
43597,62715,10827,4,11423,3,0,2248,3294,2005,1,968000
43598,62716,10831,29,11423,3,0,2120,2680,1960,1,630000
43599,62718,10839,45,11423,3,0,2850,2493,1930,1,705000
43600,62719,10863,22,11423,3,0,3648,1777,1925,1,720000
43601,62720,10863,22,11423,3,0,3648,1777,1925,1,440000
43604,62725,10549,76,11428,1,0,4000,0,1925,1,215000
43607,62728,10362,43,11423,56,0,68600,39860,1950,2,2350000
43608,62732,10464,44,11423,100,0,62650,45000,1950,2,15275000
43609,62735,10839,28,11423,4,0,1735,2200,1931,2,90000
43611,62739,10477,1,11423,2,2,2140,2800,1931,2,655000
43612,62740,10460,55,11423,0,1,1490,1080,1931,4,285000
43613,62741,10453,25,11423,2,2,3880,2940,1970,4,850000
43614,62742,10466,94,11423,0,2,1300,1920,1931,4,560000
43615,62744,10581,1,11427,0,9,22880,12780,1931,4,5300000
43616,62749,10328,44,11423,0,2,22726,7200,1931,4,3800000
43618,62752,10834,31,11423,0,2,4640,6270,1925,4,2000000
43619,62753,9896,83,11432,0,1,2080,1460,1931,4,550000
43620,62757,10352,79,11423,0,16,57100,226605,1920,4,78000000
43623,62761,7783,11,11427,1,0,4000,1240,1940,1,815000
43624,62762,7784,25,11427,1,0,4000,1480,1955,1,720000
43625,62763,7784,55,11427,1,0,4000,1000,1955,1,700000
43626,62764,7785,76,11427,1,0,4000,1400,1955,1,750000
43627,62765,7785,76,11427,1,0,4000,1400,1955,1,750000
43628,62766,7786,21,11427,1,0,4000,1400,1950,1,860000
43629,62767,7786,54,11427,1,0,5000,3200,1955,1,890000
43630,62769,7788,55,11427,1,0,4000,1852,1950,1,945000
43631,62771,7790,45,11427,1,0,4000,1925,1950,1,785000
43632,62772,7790,52,11427,1,0,5000,2005,1955,1,870000
43633,62774,7794,279,11427,1,0,12355,2493,1955,1,1360000
43634,62777,7794,463,11427,1,0,4800,1696,1955,1,878000
43635,62779,7794,490,11427,1,0,4725,1696,1955,1,725000
43636,62781,7797,40,11427,1,0,8136,1960,1945,1,994000
43637,62782,7797,74,11427,1,0,7394,1832,1940,1,995000
43638,62783,7797,98,11427,1,0,4317,1612,1940,1,936000
43639,62784,7798,63,11427,1,0,5058,1692,1940,1,855000
43640,62786,7801,49,11427,1,0,4000,1209,1945,1,820000
43641,62788,7802,26,11427,1,0,5500,2537,1950,1,350000
43642,62789,7806,14,11427,1,0,5000,1500,1940,1,960000
43643,62790,7806,24,11427,1,0,5000,1500,1940,1,788000
43644,62793,7812,8,11427,1,0,4941,1294,1945,1,883000
43645,62794,7812,10,11427,1,0,6600,1720,1940,1,1210000
43646,62797,7817,21,11427,1,0,5000,1823,1950,1,999900
43647,62798,7818,57,11427,1,0,6000,1460,1955,1,780000
43648,62799,7819,65,11427,1,0,4500,1480,1955,1,840000
43649,62800,7822,4,11427,1,0,5100,1252,1950,1,975000
43650,62801,7823,8,11427,1,0,4387,2309,2014,1,1180000
43669,62825,7266,25,11423,1,0,4000,1719,1945,1,875000
43670,62826,7267,16,11423,1,0,4000,1732,1940,1,910000
43671,62830,7270,50,11423,1,0,4182,2059,1940,1,950000
43672,62831,7271,50,11423,1,0,4000,1728,1940,1,920000
43673,62832,7274,34,11423,1,0,4000,1440,1940,1,800000
43674,62834,7276,30,11423,1,0,6438,1926,1940,1,1120000
43675,62836,10499,118,11423,1,0,3520,1625,1930,1,760000
43676,62838,10501,33,11423,1,0,15333,1766,1930,1,900000
43677,62839,10501,60,11423,1,0,4708,3440,1965,1,865000
43678,62840,10503,24,11423,1,0,5158,1625,1935,1,850000
43679,62841,10503,34,11423,1,0,6979,3281,1945,1,950000
43680,62842,10503,67,11423,1,0,5875,1136,1945,1,910000
43681,62843,10503,72,11423,1,0,5580,1785,1955,1,895000
43682,62845,10505,31,11423,1,0,7315,2040,1930,1,1050000
43683,62846,10505,75,11423,1,0,5040,2376,1997,1,966000
43684,62847,10505,80,11423,1,0,6940,2376,1997,1,975000
43685,62848,10506,62,11423,1,0,8342,1265,1945,1,870000
43686,62850,10509,29,11423,1,0,2459,2429,1960,1,840000
43687,62851,10509,44,11423,1,0,7519,2827,1920,1,1350000
43688,62852,10509,235,11423,1,0,8204,2520,1940,1,767000
43689,62853,10509,330,11423,1,0,5700,2222,2005,1,725000
43690,62854,10514,27,11423,1,0,6720,2016,1960,1,820000
43691,62857,10516,94,11423,1,0,11250,2784,1925,1,875000
43692,62858,10516,129,11423,1,0,6205,2625,1960,1,980000
43693,62859,10517,33,11423,1,0,6123,1400,1925,1,770000
43694,62860,10518,24,11423,1,0,6133,2051,1945,1,900215
43695,62861,10518,28,11423,1,0,4090,2145,1960,1,855000
43696,62863,10520,31,11423,1,0,7521,2148,1920,1,980000
43697,62864,10520,57,11423,1,0,6040,2430,1975,1,850000
43698,62865,10521,106,11423,1,0,12576,2351,1945,1,1324000
43699,62867,10522,20,11423,1,0,5050,1600,1935,1,848000
43700,62870,10525,20,11423,1,0,8250,3168,1950,1,865000
43701,62871,10526,74,11423,1,0,12050,2993,1950,1,920000
43702,62872,10526,111,11423,1,0,9672,2349,1960,1,999000
43703,62876,10531,28,11423,1,0,5070,1050,1955,1,720000
43704,62877,10531,30,11423,1,0,4650,1623,1955,1,635000
43705,62878,10531,43,11423,1,0,6275,2420,1915,1,810000
43706,62883,10538,154,11423,1,0,5620,2367,1970,1,875000
43707,62885,10592,100,11427,1,0,4000,1536,1940,1,645000
43708,62887,10599,73,11427,1,0,6000,1385,1960,1,700000
43709,62888,10503,80,11423,2,0,4900,2214,1940,1,950000
43710,62891,10590,2,11427,2,0,2610,2244,1989,1,171573
43711,62899,10499,83,11423,95,0,37400,68466,1950,2,20900000
43757,62949,10499,92,11423,0,1,25224,18786,2000,4,9150000
43758,62950,11456,6,11414,1,0,5040,1210,1945,1,260000
43759,62951,11469,37,11414,1,0,4720,1175,1960,1,290000
43760,62952,11472,2,11414,1,0,4600,1125,1960,1,574000
43761,62953,11472,17,11414,1,0,4000,1125,1960,1,540000
43762,62954,11472,57,11414,1,0,4000,1125,1960,1,625000
43763,62957,13953,16,11414,1,0,4000,1125,1960,1,560000
43764,62959,13954,3,11414,1,0,5000,1125,1965,1,650000
43765,62960,13954,32,11414,1,0,5000,1125,1945,1,570000
43766,62963,13955,56,11414,1,0,4000,2250,1960,1,400000
43767,62964,13959,73,11414,1,0,7263,3375,1950,1,950000
43768,62965,13960,78,11414,1,0,3984,960,1950,1,20000
43769,62966,13961,91,11414,1,0,5845,1304,1950,1,1300000
43770,62968,13962,105,11414,1,0,5000,2650,2010,1,975000
43771,62970,13964,88,11414,1,1,4000,2560,1960,1,525000
43772,62971,13966,80,11414,1,0,5000,1304,1945,1,620000
43773,62972,13966,101,11414,1,0,5000,1125,1945,1,610000
43774,62973,13967,80,11414,1,0,5000,1125,1945,1,589500
43775,62974,13968,87,11414,1,0,4000,1125,1950,1,650000
43776,62975,13970,67,11414,1,0,4500,1125,1950,1,750000
43777,62976,13971,71,11414,1,0,3000,1440,1950,1,700000
43778,62977,13971,89,11414,1,0,5000,1304,1950,1,418700
43779,62979,13972,105,11414,1,0,4800,1105,1950,1,575000
43780,62980,13978,12,11414,1,0,4000,2525,1950,1,675000
43781,62983,13979,28,11414,1,0,4360,1200,1965,1,180000
43782,62984,13980,7,11414,1,0,6000,2016,1950,1,565000
43783,62989,13982,10,11414,1,0,5000,1554,1950,1,610000
43784,62991,13983,50,11414,1,0,5000,1125,1950,1,675000
43785,62993,13984,48,11414,1,0,4000,2576,1955,1,704000
43786,62994,13985,1,11414,1,0,5000,1125,1950,1,635000
43787,62995,13986,16,11414,1,0,5000,1413,1950,1,595000
43788,62997,13987,1,11414,1,0,8000,2786,1960,1,1165000
43789,62998,13989,10,11414,1,0,3200,1275,1950,1,725000
43790,62999,13989,16,11414,1,0,2500,1452,1930,1,460000
43791,63000,13991,37,11414,1,0,3240,1950,1950,1,640000
43792,63003,14001,37,11414,1,0,4140,2100,1965,1,740000
43793,63004,14002,85,11414,1,0,4387,2496,1965,1,845000
43794,63005,14002,120,11414,1,0,4360,2160,1965,1,735000
43795,63007,14003,82,11414,1,0,5000,2676,1960,1,775000
43796,63008,14005,119,11414,1,0,5000,1125,1950,1,515000
43797,63009,14006,86,11414,1,0,4000,2320,1960,1,680000
43798,63010,14006,86,11414,1,0,4000,2320,1960,1,500000
43799,63011,14006,86,11414,1,0,4000,2320,1960,1,430000
43800,63012,14008,88,11414,1,0,4000,2300,1960,1,668500
43801,63016,14010,67,11414,1,0,5500,3184,2004,1,1212500
43802,63017,14011,99,11414,1,0,4000,1650,1960,1,700000
43803,63019,14016,17,11414,1,0,4387,1977,1965,1,602000
43804,63020,14016,43,11414,1,0,4260,2300,1965,1,775000
43805,63022,14018,49,11414,1,0,4400,2411,1975,1,900000
43806,63025,14024,26,11414,1,0,3500,2000,1960,1,680000
43807,63029,14026,42,11414,1,0,3500,2169,1965,1,480000
43808,63030,14026,44,11414,1,0,3500,2169,1965,1,700000
43809,63033,14028,30,11414,1,0,4000,2418,1960,1,600000
43810,63034,14029,21,11414,1,0,4000,2504,1960,1,759000
43811,63035,14039,13,11414,1,0,4542,2100,1965,1,685000
43812,63036,14042,22,11414,1,0,4017,2366,1955,1,695000
43813,63037,14042,22,11414,1,0,4017,2366,1955,1,640000
43814,63038,14042,58,11414,1,0,4017,2366,1955,1,871000
43815,63041,14044,40,11414,1,0,3800,2362,1960,1,600000
43816,63042,14045,7,11414,1,0,4700,1404,1965,1,700000
43817,63043,14047,76,11414,1,0,4000,2100,1965,1,715000
43818,63045,14062,28,11414,1,0,8000,1600,1960,1,890000
43819,63048,14067,22,11414,1,0,4000,2096,1965,1,715000
43820,63049,14067,28,11414,1,0,4000,2296,1965,1,700000
43821,63050,14068,130,11414,1,0,3842,2244,1960,1,740000
43822,63051,14068,138,11414,1,0,6500,1372,1960,1,282000
43823,63052,14068,144,11414,1,0,4500,2760,2001,1,1100000
43824,63054,14069,169,11414,1,0,4000,2192,1965,1,805000
43825,63055,14070,68,11414,1,0,4000,2340,1950,1,675000
43826,63056,14070,70,11414,1,0,3900,2140,1950,1,920000
43827,63057,14070,99,11414,1,0,4000,2254,1950,1,680000
43828,63059,14074,52,11414,1,0,4000,2296,1962,1,525000
43829,63063,14075,60,11414,1,0,5200,1765,1965,1,930000
43830,63064,14075,86,11414,1,0,6000,2236,1975,1,1065000
43831,63065,14075,89,11414,1,0,4000,2224,1965,1,640000
43832,63067,14080,14,11414,1,0,5500,2296,1970,1,690000
43833,63070,14080,45,11414,1,0,3900,2296,1970,1,775000
43834,63071,14080,50,11414,1,0,3900,2296,1970,1,625000
43835,63072,14081,29,11414,1,0,4000,2584,1950,1,840000
43836,63073,14081,50,11414,1,0,3700,2140,1950,1,760000
43837,63075,14083,42,11414,1,0,3500,2256,1965,1,680000
43838,63077,14085,5,11414,1,0,4000,2150,1950,1,635000
43839,63078,14085,11,11414,1,0,3000,1680,1970,1,685000
43840,63079,14085,46,11414,1,0,6000,1968,1970,1,615000
43841,63081,14086,156,11414,1,0,4080,2327,1970,1,300000
43842,63083,14145,64,11414,1,0,3300,2070,1930,1,651000
43843,63085,14159,14,11414,1,0,2970,1638,1920,1,550000
43844,63087,14160,11,11414,1,0,4000,1138,1935,1,645000
43845,63088,14162,70,11414,1,0,3000,1192,1930,1,386000
43846,63092,14176,19,11414,1,0,4000,1764,1925,1,509600
43847,63094,14176,32,11414,1,0,4000,1536,1925,1,540000
43848,63095,14176,55,11414,1,0,3000,1060,1925,1,490000
43849,63096,14177,48,11414,1,0,4000,1470,1925,1,615000
43850,63097,14179,7,11414,1,0,2500,1326,1930,1,589000
43851,63098,14179,55,11414,1,0,4000,1680,1925,1,508000
43852,63099,14181,57,11414,1,0,4000,1968,1930,1,109821
43853,63100,14182,96,11414,1,0,8000,1060,1920,1,250000
43854,63101,14182,96,11414,1,0,8000,1060,1920,1,405669
43855,63102,14185,14,11414,1,0,4000,2129,1950,1,385000
43856,63105,14186,42,11414,1,0,4000,1674,1930,1,620000
43857,63106,14187,1,11414,1,0,4000,1724,1960,1,580500
43858,63108,14189,33,11414,1,0,4400,1500,1945,1,425000
43859,63109,14191,5,11414,1,0,4000,1391,1950,1,782000
43860,63112,14191,53,11414,1,0,4000,1229,1945,1,385000
43861,63113,14192,14,11414,1,0,4600,1048,1950,1,510000
43862,63114,14195,26,11414,1,0,4400,1639,1960,1,690000
43863,63116,14197,17,11414,1,0,8000,1725,1955,1,625000
43864,63119,14198,47,11414,1,0,3000,2372,1920,1,122000
43865,63120,14199,19,11414,1,0,4000,1304,1945,1,550000
43866,63121,14203,21,11414,1,0,4000,1820,1950,1,675000
43867,63123,14203,44,11414,1,0,4000,1050,1950,1,533198
43868,63124,14203,55,11414,1,0,5609,1918,1950,1,670000
43869,63125,14206,15,11414,1,0,2500,1632,1960,1,550000
43870,63126,14206,29,11414,1,0,5000,2287,1940,1,505000
43871,63127,14209,6,11414,1,0,3000,1736,1950,1,600000
43872,63129,14210,22,11414,1,0,2300,1280,1935,1,525500
43873,63130,14211,8,11414,1,0,6000,2688,1955,1,565000
43874,63131,14211,57,11414,1,0,4000,1162,1935,1,560000
43875,63132,14225,133,11414,1,0,4200,1275,1925,1,399500
43876,63133,14225,209,11414,1,0,1600,1056,1920,1,451800
43877,63134,14228,215,11414,1,0,1600,1062,1920,1,272192
43878,63135,14228,771,11414,1,0,2945,980,1910,1,201002
43879,63137,14231,709,11414,1,0,3720,2492,1930,1,564400
43880,63138,14231,1112,11414,1,0,2100,1050,1950,1,385000
43881,63139,14231,1290,11414,1,0,1580,796,1920,1,260000
43882,63140,14234,281,11414,1,0,960,480,1930,1,351400
43883,63141,14234,539,11414,1,0,1725,622,1920,1,371480
43884,63142,14234,586,11414,1,0,816,840,1930,1,351400
43885,63143,14238,1046,11414,1,0,1400,700,1925,1,210000
43886,63146,14240,1347,11414,1,0,3600,952,1920,1,260000
43887,63147,14243,1155,11414,1,0,4000,756,1920,1,435000
43888,63148,14243,1222,11414,1,0,2720,1216,1925,1,451800
43889,63149,14244,1262,11414,1,0,3200,980,1920,1,170000
43890,63150,14244,1269,11414,1,0,1920,608,1920,1,111300
43891,63151,14244,1269,11414,1,0,1920,608,1920,1,322437
43892,63152,14245,1436,11414,1,0,1600,1472,1930,1,105000
43893,63153,14245,1453,11414,1,0,1600,1320,1930,1,260500
43894,63154,14246,1138,11414,1,0,2000,1330,1930,1,270000
43895,63155,14246,1188,11414,1,0,2000,1080,1930,1,330000
43896,63157,14247,1274,11414,1,0,1920,1141,1930,1,230000
43897,63159,14250,1479,11414,1,0,1600,672,1920,1,305000
43898,63160,14250,1549,11414,1,0,1600,1026,1920,1,262000
43899,63161,14251,1611,11414,1,0,2400,1190,1925,1,291200
43900,63163,14253,1527,11414,1,0,2400,608,1930,1,350000
43901,63165,14254,1642,11414,1,0,1600,1280,1920,1,93450
43902,63166,14254,1642,11414,1,0,1600,1280,1920,1,456475
43903,63167,14254,1651,11414,1,0,2560,1088,1920,1,252000
43904,63170,14255,1789,11414,1,0,2400,2200,1930,1,353000
43905,63171,11410,106,11414,2,0,3570,2784,1960,1,525000
43906,63172,11411,30,11414,2,0,3392,2392,1960,1,655500
43907,63173,11412,1,11414,2,0,4305,3120,1960,1,485000
43908,63174,11413,29,11414,2,0,3424,2392,1960,1,709500
43909,63180,11414,28,11414,2,0,3200,2208,1960,1,750000
43910,63183,11414,52,11414,2,0,3200,2208,1960,1,775000
43911,63184,11415,47,11414,2,0,3258,1888,1960,1,545000
43912,63185,11416,60,11414,2,0,3275,3388,1970,1,712000
43913,63186,11427,40,11414,2,0,3990,2496,1960,1,675000
43914,63187,11427,48,11414,2,0,3960,2496,1960,1,762000
43915,63188,11428,5,11414,2,0,3399,2392,1965,1,832000
43916,63189,11428,5,11414,2,0,3399,2392,1965,1,520000
43917,63190,11441,16,11414,2,0,3960,2496,1960,1,485000
43918,63191,11442,23,11414,2,0,4001,2496,1960,1,625000
43919,63192,11457,24,11414,2,0,2903,2184,2004,1,764000
43920,63194,11457,31,11414,2,0,2133,2184,2004,1,745000
43921,63195,11588,42,11414,2,0,4042,2296,1955,1,849000
43922,63196,11589,33,11414,2,0,4142,2296,1955,1,338000
43923,63198,11590,25,11414,2,0,3100,2288,1955,1,720000
43924,63199,11591,60,11414,2,0,3100,2340,1955,1,735000
43925,63200,13938,21,11414,2,0,3103,2438,1998,1,650000
43926,63204,13939,35,11414,2,0,3304,2520,1996,1,675000
43927,63205,13951,1,11414,2,0,5760,1950,1960,1,659000
43928,63211,14143,39,11414,2,0,4000,1638,1930,1,485000
43929,63213,14147,27,11414,2,0,4360,2257,1930,1,420000
43930,63215,14151,25,11414,2,0,3600,1912,1965,1,735000
43931,63216,14155,8,11414,2,0,4000,2288,1950,1,685000
43932,63220,14159,43,11414,2,0,4000,2288,1950,1,585000
43933,63222,14159,55,11414,2,0,4000,2348,1950,1,651000
43934,63223,14159,61,11414,2,0,8284,3015,1950,1,958000
43935,63226,14171,36,11414,2,0,4000,2206,1920,1,860000
43936,63227,14173,49,11414,2,0,4400,1728,1940,1,740000
43937,63228,14175,29,11414,2,0,4000,2286,1960,1,805000
43938,63229,14175,52,11414,2,0,3000,2700,1940,1,740000
43939,63230,14176,9,11414,2,0,4000,2138,1955,1,580000
43940,63232,14193,13,11414,2,0,4000,1272,1920,1,640000
43941,63233,14194,57,11414,2,0,4000,3146,1960,1,845000
43942,63234,14195,46,11414,2,0,4400,2449,1950,1,750000
43943,63237,14198,39,11414,2,0,4000,2070,1920,1,452500
43944,63238,14198,43,11414,2,0,4000,2206,1920,1,680000
43945,63241,14199,3,11414,2,0,4000,1366,1930,1,460000
43946,63248,14210,25,11414,2,0,4000,1442,1950,1,294000
43947,63250,14210,49,11414,2,0,4000,2150,1960,1,680000
43948,63251,14211,13,11414,2,0,4000,2002,1965,1,670000
43949,63252,14212,37,11414,2,0,5000,2960,2000,1,900000
43950,63253,14239,1178,11414,2,0,2900,1820,2007,1,570000
43951,63254,14239,1190,11414,2,0,4896,3000,2003,1,717000
43952,63255,14239,1193,11414,2,0,3785,2400,2003,1,745000
43953,63256,14239,1195,11414,2,0,3734,2400,2003,1,660000
43955,63258,14240,1336,11414,2,0,3800,1950,2005,1,475000
43956,63259,14244,1320,11414,2,0,4000,2450,2008,1,720000
43957,63260,14247,1278,11414,2,0,1920,1216,1930,1,375000
43958,63261,14255,2687,11414,2,0,2200,1330,2005,1,459000
43959,63262,11412,55,11414,3,0,4001,3432,1960,1,93000
43960,63265,11417,15,11414,3,0,3388,3364,1975,1,780000
43961,63266,11417,15,11414,3,0,3388,3364,1975,1,780000
43962,63268,11458,72,11414,3,0,3163,3648,2001,1,957000
43963,63269,14182,92,11414,3,0,1800,1908,1910,1,535000
43964,63270,14207,51,11414,3,0,3557,3744,1970,1,680000
43965,63271,14254,1627,11414,3,0,1840,2280,1930,1,210000
43993,63329,11426,35,11414,4,0,3423,3978,1978,2,745000
44154,63526,14181,15,11414,0,1,4000,3800,1931,4,780000
44156,63537,946,66,11370,1,0,4000,1175,1925,1,533333
44157,63538,948,42,11370,1,0,1800,2209,1960,1,899000
44158,63539,968,18,11370,1,0,2000,2500,1950,1,1175000
44159,63541,969,24,11370,1,0,2500,838,1925,1,1400000
44160,63542,1003,9,11370,1,0,4000,1440,1925,1,875000
44161,63543,1012,41,11370,1,0,5362,2370,1950,1,995000
44162,63544,1012,50,11370,1,0,2650,1188,1955,1,750000
44163,63545,1032,59,11370,1,0,1700,936,1901,1,607000
44164,63546,1053,64,11370,1,0,1800,1831,1960,1,717000
44165,63547,1053,66,11370,1,0,1800,1831,1960,1,740000
44166,63548,1069,67,11369,1,0,3042,1700,1950,1,607000
44167,63549,1085,63,11369,1,0,4000,2024,1925,1,525000
44168,63551,1094,50,11370,1,0,2100,1756,1940,1,570000
44169,63553,1097,4,11369,1,0,1800,1296,1945,1,605500
44170,63554,1098,5,11369,1,0,1800,1224,1940,1,580000
44171,63555,1099,19,11369,1,0,1800,1224,1940,1,636000
44172,63557,1101,165,11369,1,0,5000,1520,1950,1,775000
44173,63558,1102,14,11369,1,0,2142,1756,1950,1,460000
44174,63559,1102,61,11369,1,0,1693,1401,1950,1,535000
44175,63561,1126,53,11370,1,0,2000,2035,1955,1,120000
44176,63567,1146,33,11370,1,0,2000,1480,1960,1,630000
44177,63568,1146,38,11370,1,0,2000,2035,1960,1,600000
44178,63570,1147,23,11370,1,0,1800,1224,1960,1,625000
44179,63571,1167,8,11370,1,0,1780,2200,1950,1,770000
44180,63572,1167,9,11370,1,0,1780,2200,1950,1,35000
44181,63573,1172,5,11370,1,0,1800,1728,1950,1,395000
44182,63574,1172,15,11370,1,0,1800,1728,1950,1,925000
44183,63575,1172,28,11370,1,0,1800,1728,1950,1,770000
44184,63576,1172,56,11370,1,0,1867,1890,1950,1,865000
44185,63578,1242,12,11372,1,0,1800,1605,1945,1,645000
44186,63579,1242,19,11372,1,0,1800,1584,1945,1,780000
44187,63581,1245,59,11372,1,0,3000,1980,1930,1,775000
