,Unnamed: 0,BLOCK,LOT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
26432,36838,4023,10,11208,3,0,2000,2112,1901,1,600000
26433,36839,4031,41,11207,3,0,1800,2970,2006,1,580402
26434,36842,4034,5,11208,3,0,2250,3060,2004,1,387000
26435,36848,4066,28,11208,3,0,2250,2560,1901,1,740000
26436,36849,4070,15,11208,3,0,2000,2080,1901,1,745000
26437,36851,4070,17,11208,3,0,2000,2080,1901,1,745000
26438,36852,4070,44,11208,3,0,2000,2000,1899,1,650000
26439,36853,4073,23,11207,3,0,2375,3840,1920,1,600000
26440,36854,4073,23,11207,3,0,2375,3840,1920,1,500000
26441,36855,4078,44,11207,3,0,2000,2356,1905,1,795000
26442,36856,4079,29,11207,3,0,1800,1840,1930,1,714400
26443,36857,4081,10,11208,3,0,2392,2520,1901,1,520000
26444,36858,4081,19,11208,3,0,1920,3198,1901,1,450000
26445,36859,4165,18,11208,3,0,2433,900,1920,1,330000
26446,36860,4165,36,11208,3,0,1850,2346,2005,1,650000
26447,36861,4165,36,11208,3,0,1850,2346,2005,1,615000
26448,36862,4170,42,11208,3,0,2000,3120,1910,1,553000
26449,36863,4180,41,11208,3,0,2000,2760,1910,1,450000
26450,36864,4182,19,11208,3,0,1877,1668,1910,1,525000
26451,36865,4203,10,11208,3,0,2000,2820,1901,1,340000
26452,36866,4208,19,11208,3,0,1800,3000,1910,1,597000
26453,36867,4208,44,11208,3,0,1800,3000,1910,1,530000
26454,36868,4209,16,11208,3,1,1500,4000,1920,1,475000
26455,36870,4228,24,11208,3,0,2000,2500,2002,1,70000
26456,36871,4228,37,11208,3,0,1800,3144,1920,1,510000
26457,36872,4228,38,11208,3,0,1800,3144,1920,1,750000
26458,36873,4237,24,11208,3,0,2950,4200,1930,1,610950
26459,36874,4251,32,11208,3,0,1600,2080,1910,1,600000
26460,36875,4252,15,11208,3,0,1780,1600,1910,1,575000
26461,36876,4255,22,11208,3,0,5400,1968,1910,1,600000
26462,36878,4262,41,11208,3,0,2000,1782,1910,1,565000
26463,36879,4266,49,11208,3,0,2000,2120,1910,1,215000
26464,36884,4269,7,11208,3,0,2500,2520,1910,1,700000
26465,36887,4281,48,11208,3,0,1800,1944,1965,1,550000
26466,36892,4311,68,11207,3,0,2000,2000,1970,1,270750
26467,36893,4311,107,11207,3,0,1800,3066,2004,1,35000
26468,36894,4316,71,11208,3,0,2433,2320,1930,1,25000
26469,36898,4330,24,11207,3,0,2000,3210,2004,1,460000
